Sample,LOLP,EENS,SAIFI,SAIDI,Cost
1,0,9.09E-13,0,0,108648
21,0.095238095,271.4285714,0.095238095,834.2857143,109636
41,0.048780488,139.0243902,0.048780488,427.3170732,108648
61,0.081967213,233.6065574,0.081967213,718.0327869,108648
81,0.061728395,175.9259259,0.061728395,540.7407407,108648
101,0.079207921,225.7425743,0.079207921,693.8613861,108648
121,0.066115702,188.4297521,0.066115702,579.1735537,108648
141,0.085106383,242.5531915,0.085106383,745.5319149,108648
161,0.080745342,230.1242236,0.080745342,707.3291925,108648
181,0.082872928,236.1878453,0.082872928,725.9668508,108648
201,0.074626866,212.6865672,0.074626866,653.7313433,108648
221,0.076923077,219.2307692,0.076923077,673.8461538,108648
241,0.074688797,212.8630705,0.074688797,654.2738589,108648
261,0.072796935,207.4712644,0.072796935,637.7011494,NaN
281,0.078291815,223.1316726,0.078291815,685.8362989,108648
301,0.07641196,217.7740864,0.07641196,669.3687708,109688
321,0.07788162,221.9626168,0.07788162,682.2429907,108648
341,0.079178886,225.659824,0.079178886,693.6070381,108648
361,0.08033241,228.9473684,0.08033241,703.7119114,NaN
381,0.081364829,231.8897638,0.081364829,712.7559055,108648
401,0.079800499,227.4314214,0.079800499,699.0523691,108648
421,0.078384798,223.3966746,0.078384798,686.6508314,94648
441,0.081632653,232.6530612,0.081632653,715.1020408,NaN
461,0.082429501,234.9240781,0.082429501,722.0824295,108648
481,0.079002079,225.1559252,0.079002079,692.0582121,108648
501,0.077844311,221.8562874,0.077844311,681.9161677,108648
521,0.074856046,213.3397313,0.074856046,655.7389635,94648
541,0.072088725,205.4528651,0.072088725,631.4972274,108648
561,0.073083779,208.2887701,0.073083779,640.2139037,108648
581,0.072289157,206.0240964,0.072289157,633.253012,108648
601,0.074875208,213.3943428,0.074875208,655.906822,108648
621,0.07568438,215.7004831,0.07568438,662.9951691,108648
641,0.074882995,213.4165367,0.074882995,655.975039,108648
661,0.074130106,211.2708018,0.074130106,649.3797277,108648
681,0.073421439,209.2511013,0.073421439,643.1718062,108648
701,0.07275321,207.3466476,0.07275321,637.318117,108648
721,0.072122053,205.5478502,0.072122053,631.7891817,108648
741,0.075573549,215.3846154,0.075573549,662.0242915,108648
761,0.074901445,213.4691196,0.074901445,656.1366623,108648
781,0.074263764,211.6517286,0.074263764,650.5505762,108648
801,0.073657928,209.9250936,0.073657928,645.2434457,108648
821,0.071863581,204.8112058,0.071863581,629.5249695,108648
841,0.071343639,203.3293698,0.071343639,624.9702735,108648
861,0.069686411,198.6062718,0.069686411,610.4529617,108648
881,0.071509648,203.8024972,0.071509648,626.4245176,108648
901,0.071032186,202.4417314,0.071032186,622.2419534,108648
921,0.072747014,207.3289902,0.072747014,637.2638436,96398
941,0.073326249,208.9798087,0.073326249,642.3379384,108648
961,0.073881374,210.5619147,0.073881374,647.2008325,108648
981,0.073394495,209.1743119,0.073394495,642.9357798,NaN
1001,0.074925075,213.5364635,0.074925075,656.3436563,108648
1021,0.073457395,209.3535749,0.073457395,643.4867777,108648
1041,0.07204611,205.3314121,0.07204611,631.1239193,108648
1061,0.07068803,201.460886,0.07068803,619.2271442,108648
1081,0.069380204,197.73358,0.069380204,607.7705828,108648
1101,0.069936421,199.3188011,0.069936421,612.6430518,108648
1121,0.069580731,198.3050847,0.069580731,609.5272079,108648
1141,0.070113935,199.8247152,0.070113935,614.1980719,108648
1161,0.070628768,201.2919897,0.070628768,618.7080103,108648
1181,0.071126164,202.7095682,0.071126164,623.065199,108648
1201,0.070774355,201.7069109,0.070774355,619.9833472,108648
1221,0.07043407,200.7371007,0.07043407,617.002457,108648
1241,0.070910556,202.0950846,0.070910556,621.1764706,109636
1261,0.069785884,198.88977,0.069785884,611.3243458,103223
1281,0.068696331,195.7845433,0.068696331,601.7798595,108648
1301,0.068408916,194.9654112,0.068408916,599.2621061,108648
1321,0.069644209,198.4859955,0.069644209,610.0832702,108648
1341,0.06935123,197.6510067,0.06935123,607.5167785,108648
1361,0.069066863,196.8405584,0.069066863,605.0257164,109688
1381,0.068790731,196.0535844,0.068790731,602.6068067,108648
1401,0.068522484,195.2890792,0.068522484,600.2569593,108648
1421,0.068261787,194.5460943,0.068261787,597.9732583,108648
1441,0.06870229,195.8015267,0.06870229,601.8320611,108648
1461,0.06844627,195.0718686,0.06844627,599.5893224,108648
1481,0.069547603,198.2106685,0.069547603,609.237002,108648
1501,0.068620919,195.5696203,0.068620919,601.1192538,108648
1521,0.067718606,192.9980276,0.067718606,593.2149901,108648
1541,0.067488644,192.3426347,0.067488644,591.2005191,108648
1561,0.067264574,191.7040359,0.067264574,589.2376682,108648
1581,0.067046173,191.0815939,0.067046173,587.3244782,108648
1601,0.066833229,190.4747033,0.066833229,585.4590881,NaN
1621,0.06662554,189.8827884,0.06662554,583.6397286,108648
