Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,41639.9999999995,41727.645875251,54557.280000072,0.006,52.56,52.56
OTS,54679.0752038427,53777.5323529286,281879.28,0.031,271.56,271.56
