Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,41639.9999999995,41727.645875251,54557.280000072,0.006,52.56,52.56
OTS,54679.1422715706,52660.86893944,1245724.56,0.137,1200.12,1200.12
