Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,22109.9999999994,22197.6458752509,37449.0000000832,0.006,52.56,52.56
OTS,54679.7166845,29449.901847575,836361.000000001,0.134,1173.84,1173.84
