Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,116250.048504446,207717.120000029,0.0104,91.104,91.104
OTS,54679.0693571992,128386.184207463,399456,0.02,175.2,175.2
