Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,150447.382146439,74898.0000000155,0.003,26.28,26.28
OTS,54679.373934,159692.566739606,2147076,0.086,753.36,753.36
