Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,300820,235942.253521127,119836.800000034,0.006,52.56,52.56
OTS,124002.539179488,235939.196704428,579211.200000018,0.029,254.04,254.04
