Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,116247.645875251,119836.800000034,0.006,52.56,52.56
OTS,54679.0402312776,128851.169577139,639129.600000001,0.032,280.32,280.32
