Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,37608,126647.64,7.52061350794975e-08,0,0,0
OTS,37608.0040000001,37471.6262833676,235959.360000001,0.026,227.76,227.76
