Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126819.204769363,258398.100000001,0.01035,90.666,90.666
OTS,37615.0214852739,37530.601684963,518044.5,0.02075,181.77,181.77
