Case,StaticCost,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,98007.9999999999,267136.200000002,0.0107,93.732,93.732
OTS,34870.114417479,1620293.4,0.0649,568.524,568.524
