Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,150447.645875251,149796.000000015,0.006,52.56,52.56
OTS,54679.0149673561,163505.295322396,3370410,0.135,1182.6,1182.6
