Case,StaticCost,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,98007.9999999999,2496.6000000074,0.0001,0.876,0.876
OTS,34870.9470888823,22968.72,0.00092,8.0592,8.0592
