Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,133284,147570.833836858,192238.200000007,0.007,61.32,61.32
OTS,47270.2203774066,147570.540540541,3075811.2,0.112,981.12,981.12
