Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,63946,72814.7789346002,267136.200000002,0.0107,93.732,93.732
OTS,24917.2075448717,NaN,24966000,1,8760,8760
