Sample,LOLP,EENS,SAIFI,SAIDI,Cost
1,0,9.09494701772928e-13,0,0,108648
21,0,9.09494701772928e-13,0,0,108648
41,0,9.09494701772928e-13,0,0,108648
61,0,9.09494701772928e-13,0,0,108648
81,0,9.09494701772928e-13,0,0,108648
101,0,9.09494701772928e-13,0,0,108648
121,0,9.09494701772928e-13,0,0,108648
141,0,9.09494701772928e-13,0,0,108648
161,0,9.09494701772928e-13,0,0,108648
181,0,9.09494701772928e-13,0,0,108648
201,0,9.09494701772928e-13,0,0,108648
221,0,9.23898464018201e-13,0,0,108648
241,0,9.22703131051788e-13,0,0,108648
261,0,9.21690990877163e-13,0,0,108648
281,0,9.20822927595723e-13,0,0,108648
301,0,9.20070221560986e-13,0,0,108648
321,0,9.19411310670764e-13,0,0,108648
341,0,9.18829691380568e-13,0,0,108648
361,0,9.18312517441087e-13,0,0,108648
381,0,9.17849639978191e-13,0,0,108648
401,0,9.19701001418759e-13,0,0,108648
421,0,9.25697101448218e-13,0,0,94647.9999999999
441,0,9.24962298741856e-13,0,0,108648
461,0,9.2429125332021e-13,0,0,108648
481,0,9.23676012091633e-13,0,0,108648
501,0,9.2310989191923e-13,0,0,108648
521,0,9.22587235867548e-13,0,0,108648
541,0,9.22103223516546e-13,0,0,108648
561,0,9.21653721850106e-13,0,0,108648
581,0,9.21235166942114e-13,0,0,108648
601,0,9.19331166933534e-13,0,0,108648
621,0,9.17549807827278e-13,0,0,108648
641,0,9.17298478465208e-13,0,0,108648
661,0,9.17062358141689e-13,0,0,108648
681,0,9.16840106853326e-13,0,0,108648
701,0,9.16630537521503e-13,0,0,108648
721,0,9.16432594782292e-13,0,0,108648
741,0,9.16245337211189e-13,0,0,108648
761,0,9.16067922350788e-13,0,0,108648
781,0,9.15899594038935e-13,0,0,108648
801,0,9.15739671635289e-13,0,0,108648
821,0,9.14479751904448e-13,0,0,108648
841,0,9.14361201366244e-13,0,0,108648
861,0,9.14248158402404e-13,0,0,108648
881,0,9.14140247922733e-13,0,0,108648
901,0,9.14037128141384e-13,0,0,108648
921,0,9.13938486960744e-13,0,0,108648
941,0,9.13844038816476e-13,0,0,108648
961,0,9.13753521916506e-13,0,0,108648
981,0,9.13666695817758e-13,0,0,108648
1001,0,9.16309097640358e-13,0,0,108648
1021,0,9.16175612902504e-13,0,0,108648
1041,0,9.16047257261206e-13,0,0,108648
1061,0,9.16352343256607e-13,0,0,108648
1081,0,9.16225467373468e-13,0,0,108648
1101,0,9.16103200968372e-13,0,0,108648
1121,0,9.15985297325277e-13,0,0,108648
1141,0,9.15871527026375e-13,0,0,108648
1161,0,9.15761676462147e-13,0,0,108648
1181,0,9.15655546492813e-13,0,0,108648
1201,0,9.15552951243522e-13,0,0,108648
1221,0,9.1545371701796e-13,0,0,108648
1241,0,9.15357681316992e-13,0,0,108648
1261,0,9.1526469195071e-13,0,0,103223
1281,0,9.15174606233649e-13,0,0,108648
1301,0,9.15087290254238e-13,0,0,108648
1321,0,9.15002618210614e-13,0,0,108648
1341,0,9.14920471805876e-13,0,0,108648
1361,0,9.14840739696649e-13,0,0,108648
1381,0,9.16739047695812e-13,0,0,108648
1401,0,9.16635630908904e-13,0,0,108648
1421,0,9.16535125220854e-13,0,0,108648
1441,0,9.1643740942005e-13,0,0,108648
1461,0,9.16342368932067e-13,0,0,108648
1481,0,9.16249895371512e-13,0,0,108648
1501,0,9.16159886129692e-13,0,0,108648
1521,0,9.16072243994823e-13,0,0,108648
1541,0,9.15986876801807e-13,0,0,108648
1561,0,9.15903697108932e-13,0,0,108648
1581,0,9.15822621899115e-13,0,0,108648
1601,0,9.15743572303536e-13,0,0,108648
1621,0,9.15666473345724e-13,0,0,108648
1641,0,9.16422601695025e-13,0,0,106898
1661,0,9.16339183273327e-13,0,0,108648
1681,0,9.16257749822995e-13,0,0,108648
1701,0,9.16178231327403e-13,0,0,108648
1721,0,9.1610056102462e-13,0,0,108648
1741,0,9.16547073096268e-13,0,0,108648
1761,0,9.16466978021613e-13,0,0,108648
1781,0,9.16388681825671e-13,0,0,108648
1801,0,9.16312124579111e-13,0,0,108648
1821,0,9.16237248985413e-13,0,0,108648
1841,0,9.16164000237857e-13,0,0,108648
1861,0,9.16092325885736e-13,0,0,108648
1881,0,9.16022175709098e-13,0,0,108648
1901,0,9.16431931218329e-13,0,0,108648
1921,0,9.16833154598269e-13,0,0,108648
1941,0,9.16757539422326e-13,0,0,108648
1961,0,9.16683466626309e-13,0,0,108648
1981,0,9.16610889495028e-13,0,0,108648
2001,0,9.18357843544329e-13,0,0,108648
2021,0,9.18270133086423e-13,0,0,108648
2041,0,9.18184141598784e-13,0,0,108648
2061,0,9.18099819038611e-13,0,0,108648
2081,0,9.18017117286899e-13,0,0,108648
2101,0,9.17935990056875e-13,0,0,108648
2121,0,9.17856392807616e-13,0,0,108648
2141,0,9.18203081682478e-13,0,0,109636
2161,0,9.18122485848053e-13,0,0,108648
2181,0,9.18043368158231e-13,0,0,108648
2201,0,9.17965688318292e-13,0,0,108648
2221,0,9.17889407484925e-13,0,0,108648
2241,0,9.17814488201462e-13,0,0,108648
2261,0,9.17740894336548e-13,0,0,108648
2281,0,9.17668591026039e-13,0,0,108648
2301,0,9.17597544617928e-13,0,0,108648
2321,0,9.17527722620126e-13,0,0,108648
2341,0,9.17459093650906e-13,0,0,108648
2361,0,9.1739162739188e-13,0,0,108648
2381,0,9.17325294543338e-13,0,0,108648
2401,0,9.17260066781818e-13,0,0,108648
2421,0,9.1851075829608e-13,0,0,108648
2441,0,9.19182068526757e-13,0,0,108648
2461,0,9.19103341450334e-13,0,0,108648
