Case,StaticCost,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,98007.9999999999,6316.39800000093,0.00023,2.0148,2.0148
OTS,34870.9470888823,42841.656,0.00156,13.6656,13.6656
