Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,300820,235942.399676539,213708.960000014,0.0107,93.732,93.732
OTS,123994.630417748,235941.12961622,665094.240000002,0.0333,291.708,291.708
