Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,300820,300922.253521127,149796.000000015,0.006,52.56,52.56
OTS,109374.835644308,300922.706766917,1722654,0.069,604.44,604.44
