Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,126647.64,1.51854328578338e-08,0,0,0
OTS,37615.1021561816,37473.0121951219,399456,0.016,140.16,140.16
