Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,114125.116834959,2715.6000001176,0.005,43.8,43.8
OTS,93780.0029999999,114457.575757576,6613.80000003948,0.01,87.6,87.6
