Case,StaticCost,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,98007.9999999999,5492.52000000791,0.0002,1.752,1.752
OTS,34870.9470888823,46686.42,0.0017,14.892,14.892
