Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,126774.084507042,149796.000000015,0.006,52.56,52.56
OTS,93780.0029999999,93568.1979714245,149796,0.006,52.56,52.56
