Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126774.084507042,149796.000000015,0.006,52.56,52.56
OTS,37616.0714436475,37510.3040685225,1647756,0.066,578.16,578.16
