Case,StaticCost,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,98007.9999999999,5492.52000000791,0.0002,1.752,1.752
OTS,34872.0620619719,5492.52000000001,0.0002,1.752,1.752
