Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,37608,37491.168,3.97163603338413e-09,0,0,0
OTS,37615.1464275062,37656.0243407708,127055.040000001,0.014,122.64,122.64
