Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,126825.679062247,259646.400000004,0.0104,91.104,91.104
OTS,37615.0553224761,37530.2060928236,544258.8,0.0218,190.968,190.968
