Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,116247.771151319,213708.960000014,0.0107,93.732,93.732
OTS,54679.0693571992,128385.478966428,415434.24,0.0208,182.208,182.208
