Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,150447.645875251,149796.000000015,0.006,52.56,52.56
OTS,54679.1410916925,161661.175686708,1298232,0.052,455.52,455.52
