Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,126798.169014085,149796.00000001,0.006,52.56,52.56
OTS,37615.1021561816,37525.7134052388,661599,0.0265,232.14,232.14
