Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,89783.9999999999,101720.154929577,149796.000000015,0.006,52.56,52.56
OTS,32116.407859682,101732.256880734,3195648,0.128,1121.28,1121.28
