Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,126647.64,1.51854328578338e-08,0,0,0
OTS,93780.0029999999,93481.8591343839,7.96717358753085e-12,0,0,0
