Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,116247.645875251,119836.800000034,0.006,52.56,52.56
OTS,54679.0562704828,128587.823416294,639129.6,0.032,280.32,280.32
