Case,StaticCost,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,98007.9999999999,5492.52000000791,0.0002,1.752,1.752
OTS,34869.6040000084,19223.8200000196,0.0007,6.132,6.132
