Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126774.084507042,149796.000000015,0.006,52.56,52.56
OTS,37617.4156746434,37504.8464243845,3670002,0.147,1287.72,1287.72
