Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126678.317380353,36135.0000000871,0.0075,65.7,65.7
OTS,37615.0553090205,37491.4506828528,55407.0000000047,0.0115,100.74,100.74
