Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,300820,170962.253521127,89877.6000000496,0.006,52.56,52.56
OTS,109374.835644308,170962.706766917,1033592.4,0.069,604.44,604.44
