Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,114266.999999999,1.63327058544382e-07,0,0,0
OTS,93780.0029999999,113826.315789473,45114.0000000442,0.05,438,438
