Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,126819.204769363,258398.100000001,0.01035,90.666,90.666
OTS,37615.0614882182,37530.3419909045,262143,0.0105,91.98,91.98
