Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,37608,126798.169014085,54452.1600000757,0.006,52.56,52.56
OTS,37615.1464275062,37525.1560752415,149743.44,0.0165,144.54,144.54
