Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126774.084507042,149796.000000015,0.006,52.56,52.56
OTS,37615.0214852739,37514.932790224,449388.000000001,0.018,157.68,157.68
