Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126798.169014085,149796.00000001,0.006,52.56,52.56
OTS,93780.0029999999,93575.2416378379,162279,0.0065,56.94,56.94
