Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,116252.323548729,206718.480000007,0.01035,90.666,90.666
OTS,54679.0693571992,128385.948158562,410441.04,0.02055,180.018,180.018
