Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,9359.99999999939,9447.38214643871,13140.0000000896,0.003,26.28,26.28
OTS,54679.149837478,20561.839299742,271560,0.062,543.12,543.12
