Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126647.64,3.48006142303348e-08,0,0,0
OTS,37615.1976162284,37477.4029227557,838857.600000007,0.042,367.92,367.92
