Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,NaN,126798.169014085,42048.0000000786,0.006,52.56,52.56
OTS,37617.1714908857,37524.3502767992,45552.0000000001,0.0065,56.94,56.94
