Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,147960,150451.146881288,149796.00000001,0.006,52.56,52.56
OTS,54679.0593475339,162742.029311966,149796,0.006,52.56,52.56
