Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,116251.146881288,119836.800000033,0.006,52.56,52.56
OTS,54679.0693571992,128386.254569089,289605.6,0.0145,127.02,127.02
