Case,StaticCost,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,98007.9999999999,7340.00400000264,0.00028,2.4528,2.4528
OTS,34870.9470888823,56622.888,0.00216,18.9216,18.9216
