Case,StaticCost,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,98007.9999999999,2995.92000001469,0.00012,1.0512,1.0512
OTS,34870.9470888823,22469.4,0.0009,7.884,7.884
