Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,147960,150447.771151319,267136.200000002,0.0107,93.732,93.732
OTS,147960.003,148057.428189025,716524.200000001,0.0287,251.412,251.412
