Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,133284,133313.746478873,149796.000000015,0.006,52.56,52.56
OTS,47270.2203774066,133316.035242291,2296872,0.092,805.92,805.92
