Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,147960,152477.85750379,262143.000000007,0.0105,91.98,91.98
OTS,147960.003,150311.038026721,674082.000000003,0.027,236.52,236.52
