Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,150360,116247.645875251,119836.800000034,0.006,52.56,52.56
OTS,54679.1771971478,NaN,19972800,1,8760,8760
