Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,131364,134744.398930197,848844,0.034,297.84,297.84
OTS,47270.2203774066,NaN,24966000,1,8760,8760
