Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,87482.9999999999,98742.1348428182,267136.200000002,0.0107,93.732,93.732
OTS,31393.8120226908,98741.3338350715,1745123.4,0.0699,612.324,612.324
