Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126798.169014085,26280.0000000884,0.006,52.56,52.56
OTS,37615.0553090205,37524.1815431165,37230.000000008,0.0085,74.46,74.46
