Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,300820,235942.253521127,119836.800000034,0.006,52.56,52.56
OTS,109374.835644308,235942.706766917,1378123.2,0.069,604.44,604.44
