Case,StaticCost,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,98007.9999999999,362506.320000001,0.0132,115.632,115.632
OTS,34870.9470888823,2603454.48,0.0948,830.448,830.448
