Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,107280,126647.64,1.51854328578338e-08,0,0,0
OTS,37615.3829272243,37477.8403361345,1198368,0.048,420.48,420.48
