Case,StaticCost,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,98007.9999999999,2995.92000001469,0.00012,1.0512,1.0512
OTS,34872.5756058567,4493.88,0.00018,1.5768,1.5768
