Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,127080,126678.317380353,205969.500000004,0.0075,65.7,65.7
OTS,37615.0214852739,37495.9427109974,617908.500000001,0.0225,197.1,197.1
