Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,22109.9999999994,22197.6458752509,37449.0000000832,0.006,52.56,52.56
OTS,54679.0196628738,35164.5382675726,37449.0000000016,0.006,52.56,52.56
