Case,StaticCost,ActualCost_£,EENS_MWh_yr,LOLP_hr,SAIDI_hr_yr,SAIFI_times_yr
Base,41519.9999999995,41607.645875251,54452.1600000757,0.006,52.56,52.56
OTS,54679.1395530775,52580.9596784322,1470208.32,0.162,1419.12,1419.12
